text,intent,entities
"I need a transaction report from 02/03/2023 to 03/03/2023 for store number 555 and rx number 444.",RequestTransactionReport,"startDate:02/03/2023;endDate:03/03/2023;storeNumber:555;rxNumber:444"
"Please generate a report for store 123.",RequestTransactionReport,"storeNumber:123"
"Yes.",Confirm,""
"Cancel.",Cancel,""
"I need a transaction report.",RequestTransactionReport,""
"Generate a report for rx number 987.",RequestTransactionReport,"rxNumber:987"
"Report for store 321 from 01/01/2023 to 01/31/2023.",RequestTransactionReport,"storeNumber:321;startDate:01/01/2023;endDate:01/31/2023"
"I need a transaction report from 04/01/2023 to 04/30/2023.",RequestTransactionReport,"startDate:04/01/2023;endDate:04/30/2023"
"Generate a report for store number 789 and rx number 654.",RequestTransactionReport,"storeNumber:789;rxNumber:654"
"Please create a transaction report for store 456 from 02/01/2023 to 02/28/2023.",RequestTransactionReport,"storeNumber:456;startDate:02/01/2023;endDate:02/28/2023"
"I need a report from 03/01/2023 to 03/31/2023 for rx number 222.",RequestTransactionReport,"startDate:03/01/2023;endDate:03/31/2023;rxNumber:222"
"Transaction report for store number 111 from 05/01/2023 to 05/31/2023.",RequestTransactionReport,"storeNumber:111;startDate:05/01/2023;endDate:05/31/2023"
"Please generate a report for rx number 333.",RequestTransactionReport,"rxNumber:333"
"Yes, please generate the report.",Confirm,""
"No, I want to cancel the report.",Cancel,""
"I need a detailed report for store number 222 and rx number 123.",RequestTransactionReport,"storeNumber:222;rxNumber:123"
"Report for rx number 444 from 06/01/2023 to 06/30/2023.",RequestTransactionReport,"rxNumber:444;startDate:06/01/2023;endDate:06/30/2023"
"Create a report for store 789 from 07/01/2023 to 07/31/2023.",RequestTransactionReport,"storeNumber:789;startDate:07/01/2023;endDate:07/31/2023"
"Generate transaction report for rx number 555.",RequestTransactionReport,"rxNumber:555"
"I need a report from 08/01/2023 to 08/31/2023.",RequestTransactionReport,"startDate:08/01/2023;endDate:08/31/2023"
"Cancel the report generation.",Cancel,""
"Can you create a report from 02/02/2023 to 03/03/2023 for store number 123?",RequestTransactionReport,"startDate:02/02/2023;endDate:03/03/2023;storeNumber:123"
